# REFUSED ('double', 64, 32, 512): relsd 0.1530 > 0.10
# REFUSED ('double', 64, 64, 128): relsd 0.2138 > 0.10
# REFUSED ('double', 64, 64, 512): relsd 0.1078 > 0.10
# REFUSED ('double', 128, 32, 128): relsd 0.2104 > 0.10
# REFUSED ('double', 512, 16, 32): relsd 0.2658 > 0.10
# REFUSED ('cfloat', 256, 32, 128): relsd 0.4179 > 0.10
# REFUSED ('cfloat', 256, 32, 256): relsd 0.1064 > 0.10
# REFUSED ('cdouble', 64, 16, 256): relsd 0.2576 > 0.10
# REFUSED ('cdouble', 64, 128, 512): relsd 0.1579 > 0.10
# REFUSED ('cdouble', 128, 32, 512): relsd 0.1803 > 0.10
# REFUSED ('cdouble', 512, 32, 128): relsd 0.1066 > 0.10
# REFUSED ('cfloat', 128, 32, 1024): relsd 0.1122 > 0.10
# REFUSED ('cfloat', 128, 32, 2048): relsd 0.1030 > 0.10
# REFUSED ('cfloat', 128, 64, 1024): relsd 0.1420 > 0.10
# 135 cells paired across all four sweeps
type,n,nrhs,batch,nat_p1,ven_p1,r_p1,nat_p2,ven_p2,r_p2,QUOTED,spread_nat,spread_ven
float nrhs>=64,30,2.8366,1.7647,0,0,PASS,float n=1024 nrhs=64 b=512 = 1.7647
float nrhs==64,15,2.3362,1.7647,0,0,PASS,float n=1024 nrhs=64 b=512 = 1.7647
float nrhs>=128,15,3.4441,1.8501,0,0,PASS,float n=1024 nrhs=128 b=512 = 1.8501
float nrhs==128,15,3.4441,1.8501,0,0,PASS,float n=1024 nrhs=128 b=512 = 1.8501
double nrhs>=32,30,1.5625,0.9984,1,1,FAIL,double n=64 nrhs=64 b=2048 = 0.9984
double nrhs>=64,30,1.5625,0.9984,1,1,FAIL,double n=64 nrhs=64 b=2048 = 0.9984
double nrhs==64,15,1.3088,0.9984,1,1,FAIL,double n=64 nrhs=64 b=2048 = 0.9984
double nrhs>=128,15,1.8653,1.2791,0,0,PASS,double n=1024 nrhs=128 b=512 = 1.2791
double nrhs==128,15,1.8653,1.2791,0,0,PASS,double n=1024 nrhs=128 b=512 = 1.2791
cfloat nrhs>=32,34,1.6572,0.7870,2,0,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
cfloat nrhs>=64,34,1.6572,0.7870,2,0,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
cfloat nrhs==64,14,1.4720,0.7870,1,0,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
cfloat nrhs>=128,20,1.8005,0.9944,1,0,FAIL,cfloat n=64 nrhs=128 b=1024 = 0.9944
cfloat nrhs==128,20,1.8005,0.9944,1,0,FAIL,cfloat n=64 nrhs=128 b=1024 = 0.9944
cdouble nrhs>=32,26,1.0023,0.6928,12,11,FAIL,cdouble n=128 nrhs=64 b=1024 = 0.6928
cdouble nrhs>=64,26,1.0023,0.6928,12,11,FAIL,cdouble n=128 nrhs=64 b=1024 = 0.6928
cdouble nrhs==64,13,0.8879,0.6928,10,3,FAIL,cdouble n=128 nrhs=64 b=1024 = 0.6928
cdouble nrhs>=128,13,1.1313,0.9238,2,8,FAIL,cdouble n=128 nrhs=128 b=1024 = 0.9238
cdouble nrhs==128,13,1.1313,0.9238,2,8,FAIL,cdouble n=128 nrhs=128 b=1024 = 0.9238
float+double nrhs>=32,75,1.8907,0.9069,2,5,FAIL,float n=64 nrhs=32 b=4096 = 0.9069
float+double nrhs==32,15,1.2298,0.9069,1,4,FAIL,float n=64 nrhs=32 b=4096 = 0.9069
float+double nrhs>=64,60,2.1053,0.9984,1,1,FAIL,double n=64 nrhs=64 b=2048 = 0.9984
float+double nrhs==64,30,1.7486,0.9984,1,1,FAIL,double n=64 nrhs=64 b=2048 = 0.9984
float+double nrhs>=128,30,2.5346,1.2791,0,0,PASS,double n=1024 nrhs=128 b=512 = 1.2791
float+double nrhs==128,30,2.5346,1.2791,0,0,PASS,double n=1024 nrhs=128 b=512 = 1.2791
float+cfloat nrhs>=32,79,1.9205,0.7870,3,4,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
float+cfloat nrhs==32,15,1.2298,0.9069,1,4,FAIL,float n=64 nrhs=32 b=4096 = 0.9069
float+cfloat nrhs>=64,64,2.1320,0.7870,2,0,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
float+cfloat nrhs==64,29,1.8692,0.7870,1,0,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
float+cfloat nrhs>=128,35,2.3775,0.9944,1,0,FAIL,cfloat n=64 nrhs=128 b=1024 = 0.9944
float+cfloat nrhs==128,35,2.3775,0.9944,1,0,FAIL,cfloat n=64 nrhs=128 b=1024 = 0.9944
non-cdouble nrhs>=32,109,1.8145,0.7870,4,5,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
non-cdouble nrhs==32,15,1.2298,0.9069,1,4,FAIL,float n=64 nrhs=32 b=4096 = 0.9069
non-cdouble nrhs>=64,94,1.9307,0.7870,3,1,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
non-cdouble nrhs==64,44,1.6554,0.7870,2,1,FAIL,cfloat n=64 nrhs=64 b=2048 = 0.7870
non-cdouble nrhs>=128,50,2.2106,0.9944,1,0,FAIL,cfloat n=64 nrhs=128 b=1024 = 0.9944
non-cdouble nrhs==128,50,2.2106,0.9944,1,0,FAIL,cfloat n=64 nrhs=128 b=1024 = 0.9944
all types nrhs>=32,135,1.6185,0.6928,16,16,FAIL,cdouble n=128 nrhs=64 b=1024 = 0.6928
all types nrhs==32,15,1.2298,0.9069,1,4,FAIL,float n=64 nrhs=32 b=4096 = 0.9069
all types nrhs>=64,120,1.6750,0.6928,15,12,FAIL,cdouble n=128 nrhs=64 b=1024 = 0.6928
all types nrhs==64,57,1.4361,0.6928,12,4,FAIL,cdouble n=128 nrhs=64 b=1024 = 0.6928
all types nrhs>=128,63,1.9252,0.9238,3,8,FAIL,cdouble n=128 nrhs=128 b=1024 = 0.9238
all types nrhs==128,63,1.9252,0.9238,3,8,FAIL,cdouble n=128 nrhs=128 b=1024 = 0.9238
RECOMMENDED: float nrhs>=64 OR (double|cfloat) nrhs>=128,65,2.2390,0.9944,1,0,FAIL,cfloat n=64 nrhs=128 b=1024 = 0.9944
RECOMMENDED + cdouble nrhs>=128 (the rejected widening),78,1.9982,0.9238,3,8,FAIL,cdouble n=128 nrhs=128 b=1024 = 0.9238

== EVERY CELL BELOW 1.15, WITH ITS INTERIORITY ==
# a loss/marginal is INTERIOR on an axis when the ladder wins on BOTH
# sides of it along that axis -- then no one-sided boundary can exclude it.
type,n,nrhs,batch,ratio,interior_in_n,interior_in_batch
cdouble,128,64,1024,0.6928,False,False
cdouble,128,64,2048,0.7380,False,False
cdouble,64,64,2048,0.7671,False,False
cfloat,64,64,2048,0.7870,False,False
cdouble,256,64,1024,0.8292,False,False
cdouble,128,64,4096,0.8304,False,False
cdouble,256,64,2048,0.8568,False,False
float,64,32,4096,0.9069,False,False
cdouble,64,64,4096,0.9147,False,False
cdouble,256,64,4096,0.9196,False,False
cdouble,128,128,1024,0.9238,False,False
cdouble,512,64,512,0.9343,False,False
cdouble,512,64,1024,0.9409,False,False
cfloat,64,128,1024,0.9944,False,True
double,64,64,2048,0.9984,False,False
cdouble,256,128,1024,0.9993,False,False
cdouble,64,64,8192,1.0016,False,False
float,64,32,2048,1.0034,False,False
cdouble,128,128,2048,1.0331,False,False
cdouble,512,128,512,1.0430,False,False
cdouble,512,128,1024,1.0586,False,False
cdouble,256,128,2048,1.0742,False,False
double,128,64,1024,1.0822,False,False
cdouble,128,128,4096,1.0932,False,False
cdouble,1024,64,256,1.1047,False,False
cdouble,256,128,4096,1.1094,False,False
cdouble,1024,128,256,1.1178,False,False
cdouble,1024,64,128,1.1262,False,False
float,128,32,4096,1.1282,False,False
cdouble,1024,128,128,1.1349,False,False
float,128,32,2048,1.1445,False,False
