type,tag,m,n,k,batch,beta,pad,arm,reps,median_ms,min_ms,max_ms,rel_spread,worst_within_run_rsd
cfloat,P_k136,1024,1024,136,128,1,384,auto,2,20.07540,20.07540,20.10850,0.0016,0.0154
cfloat,P_k136,1024,1024,136,128,1,384,vendor,2,3.51061,3.51061,3.52189,0.0032,0.0376
cfloat,P_k136,1024,1024,136,128,1,384,wide,2,3.59845,3.59845,3.60842,0.0028,0.0738
cfloat,P_k32,1024,1024,32,128,0,0,auto,2,5.78390,5.78390,5.81435,0.0053,0.0502
cfloat,P_k32,1024,1024,32,128,0,0,vendor,2,1.33114,1.33114,1.33723,0.0046,0.0391
cfloat,P_k32,1024,1024,32,128,0,0,wide,2,1.31979,1.31979,1.32699,0.0055,0.0376
cfloat,P_k32,1024,1024,32,128,0,384,auto,2,5.57015,5.57015,5.57936,0.0017,0.0365
cfloat,P_k32,1024,1024,32,128,0,384,vendor,2,1.36535,1.36535,1.36711,0.0013,0.0384
cfloat,P_k32,1024,1024,32,128,0,384,wide,2,1.36836,1.36836,1.36918,0.0006,0.0336
cfloat,P_k32,1024,1024,32,128,1,0,auto,2,5.67078,5.67078,5.85517,0.0325,0.0520
cfloat,P_k32,1024,1024,32,128,1,0,vendor,2,2.44341,2.44341,2.45126,0.0032,0.0332
cfloat,P_k32,1024,1024,32,128,1,0,wide,2,2.44829,2.44829,2.45013,0.0008,0.0357
cfloat,P_k32,1024,1024,32,128,1,384,auto,2,5.57760,5.57760,5.63586,0.0104,0.0452
cfloat,P_k32,1024,1024,32,128,1,384,vendor,2,2.47875,2.47875,2.48330,0.0018,0.0363
cfloat,P_k32,1024,1024,32,128,1,384,wide,2,2.49125,2.49125,2.49329,0.0008,0.0321
cfloat,P_k64,1024,1024,64,128,0,0,auto,2,10.44870,10.44870,10.73150,0.0271,0.0482
cfloat,P_k64,1024,1024,64,128,0,0,vendor,2,1.77536,1.77536,1.78591,0.0059,0.0404
cfloat,P_k64,1024,1024,64,128,0,0,wide,2,1.47039,1.47039,1.47963,0.0063,0.0539
cfloat,P_k64,1024,1024,64,128,0,384,auto,2,10.34890,10.34890,10.35790,0.0009,0.0263
cfloat,P_k64,1024,1024,64,128,0,384,vendor,2,1.94050,1.94050,1.94970,0.0047,0.0303
cfloat,P_k64,1024,1024,64,128,0,384,wide,2,1.43291,1.43291,1.43765,0.0033,0.0340
cfloat,P_k64,1024,1024,64,128,1,0,auto,2,10.47060,10.47060,10.49600,0.0024,0.0336
cfloat,P_k64,1024,1024,64,128,1,0,vendor,2,2.62866,2.62866,2.63443,0.0022,0.0362
cfloat,P_k64,1024,1024,64,128,1,0,wide,2,2.52314,2.52314,2.52382,0.0003,0.0360
cfloat,P_k64,1024,1024,64,128,1,384,auto,2,10.34400,10.34400,10.34750,0.0003,0.0251
cfloat,P_k64,1024,1024,64,128,1,384,vendor,2,2.69507,2.69507,2.70600,0.0041,0.0330
cfloat,P_k64,1024,1024,64,128,1,384,wide,2,2.56675,2.56675,2.57747,0.0042,0.0359
cfloat,P_k8,1024,1024,8,128,0,0,auto,2,2.80002,2.80002,7.91197,1.8257,0.4301
cfloat,P_k8,1024,1024,8,128,0,0,vendor,2,1.24643,1.24643,1.24643,0.0000,0.0336
cfloat,P_k8,1024,1024,8,128,0,0,wide,2,1.22289,1.22289,1.24403,0.0173,0.0351
cfloat,P_k8,1024,1024,8,128,0,384,auto,2,2.97787,2.97787,2.98597,0.0027,0.0309
cfloat,P_k8,1024,1024,8,128,0,384,vendor,2,1.33904,1.33904,1.34781,0.0065,0.0390
cfloat,P_k8,1024,1024,8,128,0,384,wide,2,1.29744,1.29744,1.30092,0.0027,0.0355
cfloat,P_k8,1024,1024,8,128,1,0,auto,2,2.81188,2.81188,2.81425,0.0008,0.0380
cfloat,P_k8,1024,1024,8,128,1,0,vendor,2,2.39769,2.39769,2.40768,0.0042,0.0340
cfloat,P_k8,1024,1024,8,128,1,0,wide,2,2.40231,2.40231,2.40838,0.0025,0.0973
cfloat,P_k8,1024,1024,8,128,1,384,auto,2,2.98605,2.98605,2.99033,0.0014,0.0337
cfloat,P_k8,1024,1024,8,128,1,384,vendor,2,2.44471,2.44471,2.45991,0.0062,0.0354
cfloat,P_k8,1024,1024,8,128,1,384,wide,2,2.43959,2.43959,2.44502,0.0022,0.0348
cfloat,P_k96,1024,1024,96,128,0,0,auto,2,15.47290,15.47290,15.48420,0.0007,0.0371
cfloat,P_k96,1024,1024,96,128,0,0,vendor,2,2.42334,2.42334,2.42727,0.0016,0.0409
cfloat,P_k96,1024,1024,96,128,0,0,wide,2,2.13067,2.13067,2.13638,0.0027,0.0498
cfloat,P_k96,1024,1024,96,128,0,384,auto,2,15.11130,15.11130,15.14360,0.0021,0.0203
cfloat,P_k96,1024,1024,96,128,0,384,vendor,2,2.49163,2.49163,2.50419,0.0050,0.0355
cfloat,P_k96,1024,1024,96,128,0,384,wide,2,2.04734,2.04734,2.05003,0.0013,0.0250
cfloat,P_k96,1024,1024,96,128,1,0,auto,2,15.42000,15.42000,15.60630,0.0121,0.0423
cfloat,P_k96,1024,1024,96,128,1,0,vendor,2,3.16740,3.16740,3.18639,0.0060,0.0287
cfloat,P_k96,1024,1024,96,128,1,0,wide,2,2.74505,2.74505,2.79442,0.0180,0.0554
cfloat,P_k96,1024,1024,96,128,1,384,auto,2,15.08880,15.08880,15.12130,0.0022,0.0183
cfloat,P_k96,1024,1024,96,128,1,384,vendor,2,3.30257,3.30257,3.31597,0.0041,0.0295
cfloat,P_k96,1024,1024,96,128,1,384,wide,2,2.75962,2.75962,2.77843,0.0068,0.0405
cfloat,S_128,128,128,128,512,0,0,auto,2,1.32342,1.32342,1.32387,0.0003,0.0551
cfloat,S_128,128,128,128,512,0,0,vendor,2,0.24758,0.24758,0.25125,0.0148,0.0296
cfloat,S_128,128,128,128,512,0,0,wide,2,0.24617,0.24617,0.24963,0.0141,0.0272
cfloat,S_128,128,128,128,512,0,384,auto,2,1.29451,1.29451,1.34068,0.0357,0.0487
cfloat,S_128,128,128,128,512,0,384,vendor,2,0.24231,0.24231,0.24296,0.0027,0.0296
cfloat,S_128,128,128,128,512,0,384,wide,2,0.25001,0.25001,0.25195,0.0078,0.0348
cfloat,S_128,128,128,128,512,1,0,auto,2,1.31577,1.31577,1.34611,0.0231,0.0552
cfloat,S_128,128,128,128,512,1,0,vendor,2,0.32344,0.32344,0.32409,0.0020,0.0186
cfloat,S_128,128,128,128,512,1,0,wide,2,0.32223,0.32223,0.32256,0.0010,0.0197
cfloat,S_128,128,128,128,512,1,384,auto,2,1.27820,1.27820,1.33568,0.0450,0.0506
cfloat,S_128,128,128,128,512,1,384,vendor,2,0.30485,0.30485,0.30507,0.0008,0.0226
cfloat,S_128,128,128,128,512,1,384,wide,2,0.30549,0.30549,0.30611,0.0020,0.0209
cfloat,S_256,256,256,256,256,0,0,auto,2,0.74492,0.74492,0.74618,0.0017,0.0259
cfloat,S_256,256,256,256,256,0,0,vendor,2,0.74773,0.74773,0.75023,0.0033,0.0246
cfloat,S_256,256,256,256,256,0,0,wide,2,0.74469,0.74469,0.74887,0.0056,0.0262
cfloat,S_256,256,256,256,256,0,384,auto,2,0.87514,0.87514,0.87638,0.0014,0.0747
cfloat,S_256,256,256,256,256,0,384,vendor,2,0.71293,0.71293,0.73947,0.0372,0.3541
cfloat,S_256,256,256,256,256,0,384,wide,2,0.87334,0.87334,0.87507,0.0020,0.0691
cfloat,S_256,256,256,256,256,1,0,auto,2,0.77525,0.77525,0.77930,0.0052,0.0253
cfloat,S_256,256,256,256,256,1,0,vendor,2,0.79501,0.79501,0.79669,0.0021,0.0232
cfloat,S_256,256,256,256,256,1,0,wide,2,0.77621,0.77621,0.78088,0.0060,0.0254
cfloat,S_256,256,256,256,256,1,384,auto,2,0.75075,0.75075,0.75116,0.0006,0.0192
cfloat,S_256,256,256,256,256,1,384,vendor,2,0.76526,0.76526,0.77119,0.0078,0.0201
cfloat,S_256,256,256,256,256,1,384,wide,2,0.75149,0.75149,0.75357,0.0028,0.0183
cfloat,S_512,512,512,512,128,0,0,auto,2,2.86966,2.86966,2.87438,0.0016,0.0361
cfloat,S_512,512,512,512,128,0,0,vendor,2,2.85416,2.85416,2.86142,0.0025,0.0395
cfloat,S_512,512,512,512,128,0,0,wide,2,2.87206,2.87206,2.87364,0.0006,0.0379
cfloat,S_512,512,512,512,128,0,384,auto,2,2.74639,2.74639,2.77081,0.0089,0.0515
cfloat,S_512,512,512,512,128,0,384,vendor,2,2.69779,2.69779,2.73966,0.0155,0.0493
cfloat,S_512,512,512,512,128,0,384,wide,2,2.74492,2.74492,2.75306,0.0030,0.0523
cfloat,S_512,512,512,512,128,1,0,auto,2,2.89427,2.89427,3.07071,0.0610,0.3073
cfloat,S_512,512,512,512,128,1,0,vendor,2,2.91095,2.91095,12.56670,3.3170,0.3565
cfloat,S_512,512,512,512,128,1,0,wide,2,2.89271,2.89271,11.43490,2.9530,0.1663
cfloat,S_512,512,512,512,128,1,384,auto,2,2.77042,2.77042,2.77566,0.0019,0.0499
cfloat,S_512,512,512,512,128,1,384,vendor,2,2.80005,2.80005,2.81531,0.0054,0.0408
cfloat,S_512,512,512,512,128,1,384,wide,2,2.76904,2.76904,2.77088,0.0007,0.0506
