typ,tag,m,nnzrow,nrhs,batch,transB,beta,pattern,r1,r2,worst,best,spread,relsd1,relsd2,quiet,admitted,tv_us_mean,tn_us_mean,fp_mb,l2res
float,sbM,1024,16,12,16,0,0,1,0.6695483833310093,0.5255973389018149,0.6695483833310093,0.5255973389018149,1.273880847132838,0.005545438695054148,0.010287118488390682,True,True,35.12519999999999,20.6813,3.735616,True
float,sbM,1024,16,12,32,0,0,1,0.5380879123210932,0.43784990488700853,0.5380879123210932,0.43784990488700853,1.2289323494542086,0.0033048497130064827,0.003601734218143262,True,True,52.1871,25.21205,7.471232,True
float,sbM,1024,16,12,64,0,0,1,0.5029198761806333,0.4813434838457291,0.5029198761806333,0.4813434838457291,1.0448253545732415,0.0018812461998809137,0.04893499529487255,False,True,81.64150000000001,40.1546,14.942464,True
float,sbM,1024,16,12,128,0,0,1,0.23049352708366122,0.25381210380538727,0.25381210380538727,0.23049352708366122,1.101168032858737,0.0025525498219292264,0.0015696502932879594,True,True,163.94599999999997,39.6112,29.884928,True
cdouble,sbS,2048,16,25,1,0,0,1,0.5306140914606278,0.5502774667770043,0.5502774667770043,0.5306140914606278,1.0370577706714288,0.006290418001656509,0.0012729568705852172,True,True,42.094350000000006,22.7398,2.301956,True
cdouble,sbS,2048,16,25,2,0,0,1,0.5174042954927498,0.5477397024791478,0.5477397024791478,0.5174042954927498,1.058629986744714,0.022483833157911567,0.0008073633546515462,False,False,70.57365,37.5651,4.603912,True
cdouble,sbS,2048,16,25,4,0,0,1,0.6380002287693841,0.6391780082002766,0.6391780082002766,0.6380002287693841,1.0018460486027791,0.0007091001192868931,0.0006025967542617705,True,True,122.2925,78.0946,9.207824,True
cdouble,sbS,2048,16,25,8,0,0,1,0.7396264018671165,0.7490236598308261,0.7490236598308261,0.7396264018671165,1.012705411732176,0.0012626042971612265,0.0010713993453355156,True,True,228.603,170.154,18.415648,True
cdouble,sbS,2048,16,25,16,0,0,1,0.6427157039348117,0.6518512813775544,0.6518512813775544,0.6427157039348117,1.0142140255587553,0.006852620004380456,0.003948217028403839,True,True,444.46,287.678,36.831296,True
cdouble,sbS,2048,16,25,32,0,0,1,0.6215293592627864,0.6220817927842371,0.6220817927842371,0.6215293592627864,1.0008888293259486,0.0023599874162626303,0.0030660876363818265,True,True,868.546,540.0665,73.662592,True
cdouble,sbS,2048,16,25,64,0,0,1,0.5928928815101205,0.6033983025843067,0.6033983025843067,0.5928928815101205,1.017718919221004,0.007586934273368207,0.004429001514890027,True,True,1743.655,1042.88,147.325184,False
cdouble,sbS,2048,16,25,128,0,0,1,0.5810240364101835,0.5876309404716731,0.5876309404716731,0.5810240364101835,1.0113711372464207,0.0023421293553772416,0.0022114246299249577,True,True,3497.09,2043.3849999999998,294.650368,False
cfloat,sbS,2048,16,25,1,0,0,1,0.679306159679766,0.7470159922864649,0.7470159922864649,0.679306159679766,1.09967498695819,0.013488424686965239,0.0015677852946412675,True,True,25.296100000000003,17.9984,1.220612,True
cfloat,sbS,2048,16,25,2,0,0,1,0.6769411345860731,0.7396895936437397,0.7396895936437397,0.6769411345860731,1.0926941145274547,0.005840926537832516,0.0013710221324804183,True,True,34.313250000000004,24.25315,2.441224,True
cfloat,sbS,2048,16,25,4,0,0,1,0.7947199648755552,0.8150494828558392,0.8150494828558392,0.7947199648755552,1.0255807314259022,0.019037703896226083,0.0007415893092324827,True,True,50.60385,40.72605,4.882448,True
cfloat,sbS,2048,16,25,8,0,0,1,0.842763021543496,0.8677586300946425,0.8677586300946425,0.842763021543496,1.0296591187702655,0.015037251158985545,0.0005263908515032498,True,True,89.8347,76.8091,9.764896,True
cfloat,sbS,2048,16,25,16,0,0,1,0.7367507047334855,0.7332533615682626,0.7367507047334855,0.7332533615682626,1.00476962445524,0.007719818070149229,0.006992012152879214,True,True,163.464,120.14649999999999,19.529792,True
cfloat,sbS,2048,16,25,32,0,0,1,0.689760343063821,0.6814450801204971,0.689760343063821,0.6814450801204971,1.012202396327894,0.004763557703575376,0.003812331381499213,True,True,315.88349999999997,216.57,39.059584,True
cfloat,sbS,2048,16,25,64,0,0,1,0.7411787842689058,0.7387083763551885,0.7411787842689058,0.7387083763551885,1.003344226209951,0.0035934152691114007,0.002171697449774068,True,True,620.0954999999999,458.836,78.119168,False
cfloat,sbS,2048,16,25,128,0,0,1,0.7594774400360831,0.7584596163146865,0.7594774400360831,0.7584596163146865,1.0013419616542567,0.011014272137115613,0.001093942791555298,True,True,1241.0899999999997,941.9485000000001,156.238336,False
double,sbS,2048,16,25,1,0,0,1,0.5894664817383264,0.5310455370462038,0.5894664817383264,0.5310455370462038,1.110011177227989,0.0012710742453428037,0.017908319779638814,True,True,28.3671,15.854,1.220612,True
