== PART 1: trailing GEMM pair vs nb, vendor-free build, N=1024 b=128 ==
build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
24,synthI,cfloat,1024,64,120.7982,120.8230,0.0005,1137.76,-1.000e+00,2.510e-06,-1.000e+00,38043648,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,cfloat,1024,64,81.5409,81.5393,0.0000,1685.52,-1.000e+00,2.496e-06,-1.000e+00,50855936,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cfloat,1024,64,96.6727,96.6496,0.0004,1421.69,-1.000e+00,2.850e-06,-1.000e+00,76677120,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cfloat,1024,64,113.1803,113.1610,0.0005,1214.34,-1.000e+00,2.894e-06,-1.000e+00,89686016,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cfloat,1024,64,122.9532,122.9569,0.0001,1117.82,-1.000e+00,2.824e-06,-1.000e+00,102760448,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cfloat,1024,64,192.7035,192.7945,0.0007,713.21,-1.000e+00,3.956e-06,-1.000e+00,155713536,route=1:3,nb=96,dQ=-1.000e+00
8,synthI,cdouble,1024,64,2302.5957,2302.6226,0.0000,59.69,-1.000e+00,8.611e-15,-1.000e+00,25231360,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cdouble,1024,64,1547.5352,1547.5295,0.0001,88.81,-1.000e+00,7.428e-15,-1.000e+00,50593792,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,cdouble,1024,64,1818.1623,1818.2091,0.0000,75.59,-1.000e+00,7.786e-15,-1.000e+00,76087296,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,cdouble,1024,64,1061.2442,1061.2230,0.0000,129.51,-1.000e+00,7.128e-15,-1.000e+00,101711872,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cdouble,1024,64,1144.8484,1144.8474,0.0000,120.05,-1.000e+00,8.126e-15,-1.000e+00,153354240,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cdouble,1024,64,1333.8112,1333.8849,0.0001,103.04,-1.000e+00,8.002e-15,-1.000e+00,179372032,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cdouble,1024,64,1243.4301,1243.4548,0.0001,110.53,-1.000e+00,7.379e-15,-1.000e+00,205520896,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cdouble,1024,64,1544.6073,1544.6064,0.0000,88.98,-1.000e+00,7.995e-15,-1.000e+00,311427072,route=1:3,nb=96,dQ=-1.000e+00
