type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
double,16,2048,512,T,auto,8,1,0.16160,0.50582,0.0016,0.0005,882.9,282.1,3.1300,0.00e+00,0.00e+00,16,2048,16,128,0
cfloat,16,2048,512,T,auto,8,1,0.16047,0.18341,0.0046,0.0028,889.1,777.9,1.1429,0.00e+00,0.00e+00,16,2048,16,128,0
float,16,2048,512,T,auto,8,1,0.02994,0.14728,0.0070,0.0193,2382.5,484.3,4.9190,0.00e+00,0.00e+00,16,2048,16,64,0
cdouble,24,2048,512,T,auto,8,1,0.46415,1.27298,0.0047,0.0002,904.1,329.6,2.7426,0.00e+00,0.00e+00,24,2048,24,384,0
double,24,2048,512,T,auto,8,1,0.23375,0.50552,0.0030,0.0012,897.6,415.0,2.1626,0.00e+00,0.00e+00,24,2048,24,192,0
cfloat,24,2048,512,T,auto,1,1,0.23125,0.23172,0.0105,0.0121,907.3,905.5,1.0020,0.00e+00,0.00e+00,24,2048,24,192,0
float,24,2048,512,T,auto,8,1,0.11948,0.16002,0.0023,0.0021,878.0,655.6,1.3393,0.00e+00,0.00e+00,24,2048,24,96,0
cdouble,32,2048,512,T,auto,8,1,0.60833,1.27604,0.0055,0.0004,910.5,434.1,2.0976,0.00e+00,0.00e+00,32,2048,32,512,0
double,32,2048,512,T,auto,8,1,0.30717,0.50731,0.0060,0.0014,901.6,545.9,1.6516,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,T,auto,1,1,0.30069,0.29981,0.0009,0.0008,921.1,923.8,0.9971,0.00e+00,0.00e+00,32,2048,32,256,0
float,32,2048,512,T,auto,4,1,0.15501,0.16638,0.0033,0.0025,893.4,832.3,1.0733,0.00e+00,0.00e+00,32,2048,32,128,0
cdouble,48,2048,512,T,auto,4,1,0.89470,1.80201,0.0017,0.0001,919.3,456.4,2.0141,0.00e+00,0.00e+00,48,2048,48,768,0
double,48,2048,512,T,auto,4,1,0.44899,0.50237,0.1910,0.0024,915.9,818.6,1.1189,0.00e+00,0.00e+00,48,2048,48,384,0
cfloat,48,2048,512,T,auto,1,1,0.44395,0.44320,0.2016,0.0016,926.3,927.9,0.9983,0.00e+00,0.00e+00,48,2048,48,384,0
float,48,2048,512,T,auto,1,1,0.22489,0.22481,0.0099,0.0037,914.3,914.6,0.9996,0.00e+00,0.00e+00,48,2048,48,192,0
cdouble,64,2048,512,T,auto,4,1,1.18105,1.53995,0.0015,0.0005,923.8,708.5,1.3039,0.00e+00,0.00e+00,64,2048,64,1024,0
double,64,2048,512,T,auto,1,1,0.58608,0.58643,0.0060,0.0014,930.8,930.2,1.0006,0.00e+00,0.00e+00,64,2048,64,512,0
cfloat,64,2048,512,T,auto,1,1,0.58917,0.58877,0.0582,0.0026,925.9,926.5,0.9993,0.00e+00,0.00e+00,64,2048,64,512,0
float,64,2048,512,T,auto,1,1,0.29513,0.29521,0.0099,0.0032,924.2,924.0,1.0003,0.00e+00,0.00e+00,64,2048,64,256,0
cdouble,96,2048,512,T,auto,1,1,1.80547,1.80563,0.0002,0.0001,901.8,901.7,1.0001,0.00e+00,0.00e+00,96,2048,96,1536,0
double,96,2048,512,T,auto,1,1,0.87867,0.87528,0.0062,0.0021,926.5,930.1,0.9961,0.00e+00,0.00e+00,96,2048,96,768,0
cfloat,96,2048,512,T,auto,1,1,0.87723,0.87805,0.0022,0.0031,928.0,927.2,1.0009,0.00e+00,0.00e+00,96,2048,96,768,0
float,96,2048,512,T,auto,1,1,0.43900,0.44079,0.0021,0.0071,927.2,923.4,1.0041,0.00e+00,0.00e+00,96,2048,96,384,0
cdouble,128,2048,512,T,auto,1,1,2.32573,2.32630,0.0018,0.0020,931.0,930.8,1.0002,0.00e+00,0.00e+00,128,2048,128,2048,0
double,128,2048,512,T,auto,1,1,1.16464,1.16312,0.0595,0.0802,929.6,930.8,0.9987,0.00e+00,0.00e+00,128,2048,128,1024,0
cfloat,128,2048,512,T,auto,1,1,1.16310,1.16292,0.0766,0.0026,930.8,931.0,0.9998,0.00e+00,0.00e+00,128,2048,128,1024,0
float,128,2048,512,T,auto,1,1,0.58348,0.58397,0.0371,0.0068,927.8,927.0,1.0009,0.00e+00,0.00e+00,128,2048,128,512,0
cdouble,1,256,512,T,auto,8,1,0.02081,0.16407,0.0036,0.0012,202.0,25.6,7.8852,0.00e+00,0.00e+00,1,256,1,2,0
double,1,256,512,T,auto,8,1,0.01114,0.06826,0.0090,0.0016,188.6,30.8,6.1251,0.00e+00,0.00e+00,1,256,1,1,0
cfloat,1,256,512,T,auto,8,1,0.00841,0.02518,0.0111,0.0041,249.9,83.4,2.9950,0.00e+00,0.00e+00,1,256,1,1,0
float,1,256,512,T,auto,8,1,0.00818,0.02288,0.0100,0.0141,128.4,45.9,2.7964,0.00e+00,0.00e+00,1,256,1,0,0
cdouble,2,256,512,T,auto,8,1,0.02087,0.16433,0.0340,0.0007,302.3,38.4,7.8758,0.00e+00,0.00e+00,2,256,2,4,0
double,2,256,512,T,auto,8,1,0.01126,0.06834,0.0077,0.0012,280.0,46.2,6.0668,0.00e+00,0.00e+00,2,256,2,2,0
cfloat,2,256,512,T,auto,8,1,0.00847,0.02519,0.0071,0.0063,372.5,125.2,2.9747,0.00e+00,0.00e+00,2,256,2,2,0
float,2,256,512,T,auto,8,1,0.00878,0.02334,0.0141,0.0050,179.6,67.6,2.6576,0.00e+00,0.00e+00,2,256,2,1,0
cdouble,4,256,512,T,auto,8,1,0.02113,0.16433,0.0051,0.0015,497.9,64.0,7.7789,0.00e+00,0.00e+00,4,256,4,8,0
double,4,256,512,T,auto,8,1,0.01175,0.06892,0.0117,0.0075,447.7,76.3,5.8668,0.00e+00,0.00e+00,4,256,4,4,0
cfloat,4,256,512,T,auto,8,1,0.00850,0.02548,0.0083,0.0040,618.7,206.4,2.9981,0.00e+00,0.00e+00,4,256,4,4,0
