arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,cdouble,16,2048,512,N,vendor:auto,0.31695,0.31727,0.0054,900.3,0.948,0.00e+00,16,16,2048,0
native:direct,cdouble,16,2048,512,N,native:direct,0.32441,0.43219,0.7702,879.6,0.926,0.00e+00,16,16,2048,0
vendor,float,2048,16,512,T,vendor:auto,0.02360,0.02361,0.0149,3023.1,3.182,0.00e+00,2048,16,2048,0
native:direct,float,2048,16,512,T,native:direct,0.11491,0.11469,0.0041,620.8,0.653,0.00e+00,2048,16,2048,0
native:cta,float,2048,16,512,T,native:cta,0.02403,0.02403,0.0051,2968.9,3.125,0.00e+00,2048,16,2048,0
vendor,double,2048,16,512,T,vendor:auto,0.15066,0.15047,0.0028,947.0,0.997,0.00e+00,2048,16,2048,0
native:direct,double,2048,16,512,T,native:direct,0.72421,0.72592,0.0064,197.0,0.207,0.00e+00,2048,16,2048,0
native:cta,double,2048,16,512,T,native:cta,0.15980,0.15985,0.0018,892.8,0.940,0.00e+00,2048,16,2048,0
vendor,cfloat,2048,16,512,T,vendor:auto,0.15907,0.16661,0.1219,896.9,0.944,0.00e+00,2048,16,2048,0
native:direct,cfloat,2048,16,512,T,native:direct,0.73959,0.73943,0.0051,192.9,0.203,0.00e+00,2048,16,2048,0
native:cta,cfloat,2048,16,512,T,native:cta,0.15758,0.15743,0.0020,905.4,0.953,0.00e+00,2048,16,2048,0
vendor,cdouble,2048,16,512,T,vendor:auto,0.31044,0.31081,0.0029,919.2,0.968,0.00e+00,2048,16,2048,0
native:direct,cdouble,2048,16,512,T,native:direct,1.36164,1.36132,0.0055,209.6,0.221,0.00e+00,2048,16,2048,0
native:cta,cdouble,2048,16,512,T,native:cta,0.33494,0.33474,0.0048,851.9,0.897,0.00e+00,2048,16,2048,0
vendor,float,2048,16,512,C,vendor:auto,0.02171,0.02172,0.0077,3286.2,3.459,0.00e+00,2048,16,2048,0
native:direct,float,2048,16,512,C,native:direct,0.06743,0.06773,0.0121,1057.9,1.114,0.00e+00,2048,16,2048,0
native:cta,float,2048,16,512,C,native:cta,0.02410,0.02405,0.0073,2960.4,3.116,0.00e+00,2048,16,2048,0
vendor,double,2048,16,512,C,vendor:auto,0.15083,0.15090,0.0022,945.9,0.996,0.00e+00,2048,16,2048,0
native:direct,double,2048,16,512,C,native:direct,0.74481,0.74442,0.0034,191.6,0.202,0.00e+00,2048,16,2048,0
native:cta,double,2048,16,512,C,native:cta,0.16061,0.16043,0.0032,888.3,0.935,0.00e+00,2048,16,2048,0
vendor,cfloat,2048,16,512,C,vendor:auto,0.15718,0.15726,0.0013,907.7,0.955,0.00e+00,2048,16,2048,0
native:direct,cfloat,2048,16,512,C,native:direct,0.73456,0.73272,0.0067,194.2,0.204,0.00e+00,2048,16,2048,0
native:cta,cfloat,2048,16,512,C,native:cta,0.15706,0.15717,0.0030,908.4,0.956,0.00e+00,2048,16,2048,0
vendor,cdouble,2048,16,512,C,vendor:auto,0.31006,0.30992,0.0014,920.3,0.969,0.00e+00,2048,16,2048,0
native:direct,cdouble,2048,16,512,C,native:direct,1.37031,1.37003,0.0057,208.2,0.219,0.00e+00,2048,16,2048,0
native:cta,cdouble,2048,16,512,C,native:cta,0.33761,0.33708,0.0134,845.2,0.890,0.00e+00,2048,16,2048,0
vendor,float,64,64,512,N,vendor:auto,0.00906,0.00908,0.0152,955.1,1.005,0.00e+00,64,64,64,0
native:direct,float,64,64,512,N,native:direct,0.00767,0.00765,0.0114,1127.6,1.187,0.00e+00,64,64,64,0
vendor,double,64,64,512,N,vendor:auto,0.01249,0.01255,0.0119,1384.8,1.458,0.00e+00,64,64,64,0
native:direct,double,64,64,512,N,native:direct,0.01002,0.01002,0.0097,1726.5,1.817,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,N,vendor:auto,0.01080,0.01085,0.0185,1602.6,1.687,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,N,native:direct,0.00950,0.00953,0.0125,1821.2,1.917,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,N,vendor:auto,0.02466,0.02471,0.0162,1403.4,1.477,0.00e+00,64,64,64,0
native:direct,cdouble,64,64,512,N,native:direct,0.01831,0.01837,0.0123,1889.9,1.989,0.00e+00,64,64,64,0
vendor,float,64,64,512,T,vendor:auto,0.01063,0.01062,0.0103,813.7,0.857,0.00e+00,64,64,64,0
native:direct,float,64,64,512,T,native:direct,0.01198,0.01199,0.0060,722.0,0.760,0.00e+00,64,64,64,0
native:cta,float,64,64,512,T,native:cta,0.01004,0.01006,0.0068,861.4,0.907,0.00e+00,64,64,64,0
vendor,double,64,64,512,T,vendor:auto,0.01346,0.01360,0.0341,1285.4,1.353,0.00e+00,64,64,64,0
native:direct,double,64,64,512,T,native:direct,0.01250,0.01256,0.0131,1384.1,1.457,0.00e+00,64,64,64,0
native:cta,double,64,64,512,T,native:cta,0.02172,0.02178,0.0073,796.5,0.838,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,T,vendor:auto,0.01196,0.01197,0.0078,1446.3,1.522,0.00e+00,64,64,64,0
