cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
vv,3,vendor,double,512,128,96,32,5.9481,5.9301,0.0015,962.76,7.962e-19,0,0,0
vv,3,blocked,double,512,128,96,32,5.9772,5.9757,0.0001,958.08,1.113e-18,0,0,0
vv,4,vendor,double,512,128,96,32,5.9484,5.9480,0.0000,962.71,7.962e-19,0,0,0
vv,4,blocked,double,512,128,96,32,5.9755,5.9554,0.0017,958.36,1.113e-18,0,0,0
vv,5,vendor,double,512,128,96,32,5.9313,5.9285,0.0002,965.48,7.962e-19,0,0,0
vv,5,blocked,double,512,128,96,32,5.9788,5.9603,0.0016,957.82,1.113e-18,0,0,0
nv,1,vendor,double,512,128,96,32,5.9326,5.9306,0.0002,965.28,7.962e-19,0,0,0
nv,1,blocked,double,512,128,96,32,5.9779,5.9774,0.0000,957.97,1.113e-18,0,0,0
nv,2,vendor,double,512,128,96,32,5.9597,5.9399,0.0017,960.90,7.962e-19,0,0,0
nv,2,blocked,double,512,128,96,32,6.0044,5.9819,0.0019,953.74,1.113e-18,0,0,0
nv,3,vendor,double,512,128,96,32,5.9524,5.9336,0.0016,962.07,7.962e-19,0,0,0
nv,3,blocked,double,512,128,96,32,5.9755,5.9752,0.0000,958.35,1.113e-18,0,0,0
nv,4,vendor,double,512,128,96,32,5.9765,5.9518,0.0021,958.19,7.962e-19,0,0,0
nv,4,blocked,double,512,128,96,32,6.1071,5.9800,0.0105,937.70,1.113e-18,0,0,0
nv,5,vendor,double,512,128,96,32,5.9339,5.9299,0.0003,965.07,7.962e-19,0,0,0
nv,5,blocked,double,512,128,96,32,5.9768,5.9766,0.0000,958.14,1.113e-18,0,0,0
vn,1,vendor,double,512,128,96,32,5.9502,5.9386,0.0010,962.42,7.962e-19,0,0,0
vn,1,blocked,double,512,128,96,32,5.9745,5.9733,0.0001,958.51,1.113e-18,0,0,0
vn,2,vendor,double,512,128,96,32,5.9669,5.9309,0.0030,959.73,7.962e-19,0,0,0
vn,2,blocked,double,512,128,96,32,5.9757,5.9727,0.0002,958.32,1.113e-18,0,0,0
vn,3,vendor,double,512,128,96,32,5.9475,5.9302,0.0015,962.87,7.962e-19,0,0,0
vn,3,blocked,double,512,128,96,32,5.9760,5.9723,0.0003,958.27,1.113e-18,0,0,0
vn,4,vendor,double,512,128,96,32,5.9539,5.9347,0.0016,961.82,7.962e-19,0,0,0
vn,4,blocked,double,512,128,96,32,5.9826,5.9809,0.0001,957.22,1.113e-18,0,0,0
vn,5,vendor,double,512,128,96,32,5.9317,5.9314,0.0000,965.43,7.962e-19,0,0,0
vn,5,blocked,double,512,128,96,32,5.9968,5.9762,0.0017,954.94,1.113e-18,0,0,0
nn,1,vendor,double,512,128,96,32,5.9356,5.9299,0.0005,964.78,7.962e-19,0,0,0
nn,1,blocked,double,512,128,96,32,5.9807,5.9771,0.0003,957.51,1.113e-18,0,0,0
nn,2,vendor,double,512,128,96,32,5.9304,5.9300,0.0000,965.63,7.962e-19,0,0,0
nn,2,blocked,double,512,128,96,32,5.9776,5.9702,0.0006,958.02,1.113e-18,0,0,0
nn,3,vendor,double,512,128,96,32,5.9301,5.9300,0.0000,965.69,7.962e-19,0,0,0
nn,3,blocked,double,512,128,96,32,5.9781,5.9628,0.0013,957.93,1.113e-18,0,0,0
nn,4,vendor,double,512,128,96,32,5.9551,5.9476,0.0006,961.63,7.962e-19,0,0,0
nn,4,blocked,double,512,128,96,32,5.9900,5.9764,0.0011,956.03,1.113e-18,0,0,0
nn,5,vendor,double,512,128,96,32,5.9490,5.9324,0.0014,962.62,7.962e-19,0,0,0
nn,5,blocked,double,512,128,96,32,5.9903,5.9788,0.0010,955.99,1.113e-18,0,0,0
vv,1,vendor,double,1024,128,96,32,40.1534,40.1244,0.0004,1140.95,3.725e-19,0,0,0
vv,1,blocked,double,1024,128,96,32,39.9589,39.9583,0.0000,1146.50,2.002e-19,0,0,4
vv,2,vendor,double,1024,128,96,32,40.0893,40.0837,0.0001,1142.77,3.725e-19,0,0,0
vv,2,blocked,double,1024,128,96,32,39.9965,39.5948,0.0050,1145.42,2.002e-19,0,0,3
vv,3,vendor,double,1024,128,96,32,40.1660,40.1026,0.0008,1140.59,3.725e-19,0,0,0
vv,3,blocked,double,1024,128,96,32,39.8737,39.6035,0.0034,1148.95,2.178e-02,0,0,8
vv,4,vendor,double,1024,128,96,32,40.1039,40.1003,0.0000,1142.36,3.725e-19,0,0,0
vv,4,blocked,double,1024,128,96,32,39.6584,39.4772,0.0023,1155.19,3.724e-19,0,0,1
vv,5,vendor,double,1024,128,96,32,40.3705,40.1386,0.0029,1134.81,3.725e-19,0,0,0
vv,5,blocked,double,1024,128,96,32,39.9552,39.7953,0.0020,1146.61,2.002e-19,0,0,0
nv,1,vendor,double,1024,128,96,32,40.1658,40.0862,0.0010,1140.60,3.725e-19,0,0,0
nv,1,blocked,double,1024,128,96,32,39.8220,39.6334,0.0024,1150.44,2.002e-19,0,0,5
nv,2,vendor,double,1024,128,96,32,40.0953,40.0715,0.0003,1142.60,3.725e-19,0,0,0
nv,2,blocked,double,1024,128,96,32,39.8812,39.8719,0.0001,1148.74,2.002e-19,0,0,0
nv,3,vendor,double,1024,128,96,32,40.2105,40.1169,0.0012,1139.33,3.725e-19,0,0,0
nv,3,blocked,double,1024,128,96,32,40.0487,39.7009,0.0044,1143.93,8.727e-04,0,0,1
nv,4,vendor,double,1024,128,96,32,40.0957,40.0884,0.0001,1142.59,3.725e-19,0,0,0
nv,4,blocked,double,1024,128,96,32,39.8090,39.6260,0.0023,1150.82,2.002e-19,0,0,4
nv,5,vendor,double,1024,128,96,32,40.1422,40.0946,0.0006,1141.27,3.725e-19,0,0,0
nv,5,blocked,double,1024,128,96,32,39.8504,39.5185,0.0042,1149.62,2.002e-19,0,0,0
vn,1,vendor,double,1024,128,96,32,40.1296,40.1089,0.0003,1141.63,3.725e-19,0,0,0
vn,1,blocked,double,1024,128,96,32,39.9088,39.6451,0.0033,1147.94,2.002e-19,0,0,3
vn,2,vendor,double,1024,128,96,32,40.1015,40.0988,0.0000,1142.43,3.725e-19,0,0,0
vn,2,blocked,double,1024,128,96,32,39.8678,39.6005,0.0034,1149.12,1.809e-01,0,0,3
vn,3,vendor,double,1024,128,96,32,40.1757,40.1014,0.0009,1140.32,3.725e-19,0,0,0
vn,3,blocked,double,1024,128,96,32,39.8180,39.6717,0.0018,1150.56,2.002e-19,0,0,3
vn,4,vendor,double,1024,128,96,32,40.1756,40.0876,0.0011,1140.32,3.725e-19,0,0,0
vn,4,blocked,double,1024,128,96,32,40.0735,39.8872,0.0023,1143.22,2.002e-19,0,0,4
vn,5,vendor,double,1024,128,96,32,40.1072,40.0874,0.0002,1142.26,3.725e-19,0,0,0
vn,5,blocked,double,1024,128,96,32,39.6035,39.4789,0.0016,1156.79,2.002e-19,0,0,0
nn,1,vendor,double,1024,128,96,32,40.0980,40.0846,0.0002,1142.53,3.725e-19,0,0,0
nn,1,blocked,double,1024,128,96,32,39.8190,39.8088,0.0001,1150.53,2.002e-19,0,0,2
nn,2,vendor,double,1024,128,96,32,40.1003,40.0833,0.0002,1142.46,3.725e-19,0,0,0
nn,2,blocked,double,1024,128,96,32,39.8872,39.7465,0.0018,1148.56,2.002e-19,0,0,7
nn,3,vendor,double,1024,128,96,32,40.0969,40.0818,0.0002,1142.56,3.725e-19,0,0,0
nn,3,blocked,double,1024,128,96,32,39.8668,39.8641,0.0000,1149.15,2.002e-19,0,0,7
nn,4,vendor,double,1024,128,96,32,40.1072,40.0875,0.0002,1142.26,3.725e-19,0,0,0
nn,4,blocked,double,1024,128,96,32,39.8749,39.7991,0.0010,1148.92,2.002e-19,0,0,5
nn,5,vendor,double,1024,128,96,32,40.1075,40.1010,0.0001,1142.26,3.725e-19,0,0,0
nn,5,blocked,double,1024,128,96,32,39.5000,39.4743,0.0003,1159.82,2.002e-19,0,0,0
vv,1,vendor,cfloat,256,128,96,32,0.2976,0.2972,0.0007,9621.96,1.120e-09,0,0,0
