arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:cta,cdouble,64,64,512,T,native:cta,0.05401,0.05404,0.0021,640.7,0.674,0.00e+00,64,64,64,0
vendor,float,64,64,512,C,vendor:auto,0.01055,0.01074,0.0563,820.1,0.863,0.00e+00,64,64,64,0
native:direct,float,64,64,512,C,native:direct,0.01188,0.01181,0.0126,728.3,0.767,0.00e+00,64,64,64,0
native:cta,float,64,64,512,C,native:cta,0.01006,0.01008,0.0073,859.8,0.905,0.00e+00,64,64,64,0
vendor,double,64,64,512,C,vendor:auto,0.01344,0.01349,0.0170,1287.0,1.355,0.00e+00,64,64,64,0
native:direct,double,64,64,512,C,native:direct,0.01242,0.01241,0.0061,1393.6,1.467,0.00e+00,64,64,64,0
native:cta,double,64,64,512,C,native:cta,0.02160,0.02167,0.0081,800.9,0.843,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,C,vendor:auto,0.01196,0.01211,0.0384,1446.4,1.522,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,C,native:direct,0.01814,0.01815,0.0046,953.8,1.004,0.00e+00,64,64,64,0
native:cta,cfloat,64,64,512,C,native:cta,0.01124,0.01126,0.0100,1539.3,1.620,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,C,vendor:auto,0.02513,0.02523,0.0173,1377.0,1.449,0.00e+00,64,64,64,0
