arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB,foreign
vendor,cdouble,320,128,128,T,vendor:auto,0.10225,0.10232,0.0133,829.4,0.873,0.00e+00,320,80,0
native:cta,cdouble,320,128,128,T,native:cta,0.09318,0.09339,0.0077,910.1,0.958,0.00e+00,320,80,0
vendor,cdouble,320,128,256,T,vendor:auto,0.22071,0.22083,0.0094,768.5,0.809,0.00e+00,320,160,0
native:cta,cdouble,320,128,256,T,native:cta,0.19226,0.19229,0.0052,882.2,0.929,0.00e+00,320,160,0
vendor,cdouble,320,128,512,T,vendor:auto,0.38629,0.38618,0.0023,878.1,0.924,0.00e+00,320,320,0
native:cta,cdouble,320,128,512,T,native:cta,0.37127,0.37153,0.0024,913.7,0.962,0.00e+00,320,320,0
vendor,cdouble,320,256,128,T,vendor:auto,0.21724,0.21747,0.0098,777.7,0.819,0.00e+00,320,160,0
native:cta,cdouble,320,256,128,T,native:cta,0.19185,0.19186,0.0034,880.6,0.927,0.00e+00,320,160,0
vendor,cdouble,320,256,256,T,vendor:auto,0.42082,0.42016,0.0102,803.0,0.845,0.00e+00,320,320,0
native:cta,cdouble,320,256,256,T,native:cta,0.36960,0.36992,0.0027,914.2,0.962,0.00e+00,320,320,0
vendor,cdouble,320,256,512,T,vendor:auto,2.09262,2.09641,0.0114,322.9,0.340,0.00e+00,320,640,0
native:cta,cdouble,320,256,512,T,native:cta,0.72772,0.72796,0.0014,928.7,0.978,0.00e+00,320,640,0
vendor,cdouble,320,512,128,T,vendor:auto,0.41995,0.42086,0.0047,803.1,0.845,0.00e+00,320,320,0
native:cta,cdouble,320,512,128,T,native:cta,0.36896,0.36905,0.0020,914.0,0.962,0.00e+00,320,320,0
vendor,cdouble,320,512,256,T,vendor:auto,0.81026,0.81090,0.0124,832.4,0.876,0.00e+00,320,640,0
native:cta,cdouble,320,512,256,T,native:cta,0.72666,0.72698,0.0016,928.2,0.977,0.00e+00,320,640,0
vendor,cdouble,320,512,512,T,vendor:auto,4.35787,4.35214,0.0052,309.6,0.326,0.00e+00,320,1280,0
native:cta,cdouble,320,512,512,T,native:cta,1.44171,1.44185,0.0006,935.7,0.985,0.00e+00,320,1280,0
vendor,cdouble,384,128,128,T,vendor:auto,0.11969,0.11974,0.0050,849.8,0.895,0.00e+00,384,96,0
