arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:cta,cfloat,512,16,512,T,native:cta,0.01339,0.01339,0.0098,2667.0,2.807,0.00e+00,512,16,512,0
vendor,cdouble,512,16,512,T,vendor:auto,0.03470,0.03470,0.0036,2058.7,2.167,0.00e+00,512,16,512,0
native:direct,cdouble,512,16,512,T,native:direct,0.06514,0.06515,0.0015,1096.6,1.154,0.00e+00,512,16,512,0
native:cta,cdouble,512,16,512,T,native:cta,0.04666,0.04678,0.0091,1531.1,1.612,0.00e+00,512,16,512,0
vendor,float,512,16,512,C,vendor:auto,0.01104,0.01120,0.0556,1617.3,1.702,0.00e+00,512,16,512,0
native:direct,float,512,16,512,C,native:direct,0.02118,0.02149,0.0494,843.2,0.888,0.00e+00,512,16,512,0
native:cta,float,512,16,512,C,native:cta,0.00979,0.00982,0.0164,1823.2,1.919,0.00e+00,512,16,512,0
vendor,double,512,16,512,C,vendor:auto,0.01711,0.01718,0.0158,2087.7,2.198,0.00e+00,512,16,512,0
native:direct,double,512,16,512,C,native:direct,0.03096,0.03095,0.0020,1153.7,1.214,0.00e+00,512,16,512,0
native:cta,double,512,16,512,C,native:cta,0.01817,0.01821,0.0096,1965.3,2.069,0.00e+00,512,16,512,0
vendor,cfloat,512,16,512,C,vendor:auto,0.01429,0.01486,0.1236,2498.7,2.630,0.00e+00,512,16,512,0
native:direct,cfloat,512,16,512,C,native:direct,0.04706,0.04392,0.0879,759.0,0.799,0.00e+00,512,16,512,0
native:cta,cfloat,512,16,512,C,native:cta,0.01347,0.01365,0.0455,2651.6,2.791,0.00e+00,512,16,512,0
vendor,cdouble,512,16,512,C,vendor:auto,0.03449,0.03469,0.0186,2071.0,2.180,0.00e+00,512,16,512,0
native:direct,cdouble,512,16,512,C,native:direct,0.06723,0.06728,0.0021,1062.5,1.118,0.00e+00,512,16,512,0
native:cta,cdouble,512,16,512,C,native:cta,0.04671,0.04724,0.0369,1529.5,1.610,0.00e+00,512,16,512,0
vendor,float,16,2048,512,N,vendor:auto,0.02363,0.02359,0.0083,3019.3,3.178,0.00e+00,16,16,2048,0
native:direct,float,16,2048,512,N,native:direct,0.03872,0.03873,0.0016,1842.4,1.939,0.00e+00,16,16,2048,0
vendor,double,16,2048,512,N,vendor:auto,0.15796,0.15791,0.0015,903.2,0.951,0.00e+00,16,16,2048,0
native:direct,double,16,2048,512,N,native:direct,0.16209,0.16219,0.0022,880.2,0.927,0.00e+00,16,16,2048,0
vendor,cfloat,16,2048,512,N,vendor:auto,0.14834,0.14862,0.0050,961.8,1.012,0.00e+00,16,16,2048,0
native:direct,cfloat,16,2048,512,N,native:direct,0.16030,0.16049,0.0046,890.0,0.937,0.00e+00,16,16,2048,0
vendor,cdouble,16,2048,512,N,vendor:auto,0.31621,0.31645,0.0042,902.4,0.950,0.00e+00,16,16,2048,0
native:direct,cdouble,16,2048,512,N,native:direct,0.31497,0.31536,0.0031,905.9,0.954,0.00e+00,16,16,2048,0
vendor,float,2048,16,512,T,vendor:auto,0.02126,0.02128,0.0070,3355.6,3.532,0.00e+00,2048,16,2048,0
native:direct,float,2048,16,512,T,native:direct,0.07016,0.07017,0.0046,1016.7,1.070,0.00e+00,2048,16,2048,0
native:cta,float,2048,16,512,T,native:cta,0.02458,0.02461,0.0086,2901.8,3.055,0.00e+00,2048,16,2048,0
vendor,double,2048,16,512,T,vendor:auto,0.15019,0.15016,0.0032,950.0,1.000,0.00e+00,2048,16,2048,0
native:direct,double,2048,16,512,T,native:direct,0.71599,0.71642,0.0028,199.3,0.210,0.00e+00,2048,16,2048,0
native:cta,double,2048,16,512,T,native:cta,0.16107,0.16109,0.0015,885.8,0.932,0.00e+00,2048,16,2048,0
vendor,cfloat,2048,16,512,T,vendor:auto,0.15698,0.15702,0.0009,908.8,0.957,0.00e+00,2048,16,2048,0
native:direct,cfloat,2048,16,512,T,native:direct,0.73020,0.73224,0.0063,195.4,0.206,0.00e+00,2048,16,2048,0
native:cta,cfloat,2048,16,512,T,native:cta,0.15681,0.15691,0.0017,909.8,0.958,0.00e+00,2048,16,2048,0
vendor,cdouble,2048,16,512,T,vendor:auto,0.30986,0.31003,0.0024,920.9,0.969,0.00e+00,2048,16,2048,0
native:direct,cdouble,2048,16,512,T,native:direct,1.35434,1.35644,0.0064,210.7,0.222,0.00e+00,2048,16,2048,0
native:cta,cdouble,2048,16,512,T,native:cta,0.33941,0.33914,0.0069,840.7,0.885,0.00e+00,2048,16,2048,0
vendor,float,2048,16,512,C,vendor:auto,0.02175,0.02173,0.0063,3280.3,3.453,0.00e+00,2048,16,2048,0
native:direct,float,2048,16,512,C,native:direct,0.07072,0.07069,0.0036,1008.8,1.062,0.00e+00,2048,16,2048,0
native:cta,float,2048,16,512,C,native:cta,0.02367,0.02369,0.0049,3013.8,3.172,0.00e+00,2048,16,2048,0
vendor,double,2048,16,512,C,vendor:auto,0.15033,0.15021,0.0018,949.1,0.999,0.00e+00,2048,16,2048,0
native:direct,double,2048,16,512,C,native:direct,0.72817,0.72832,0.0032,195.9,0.206,0.00e+00,2048,16,2048,0
native:cta,double,2048,16,512,C,native:cta,0.15884,0.15888,0.0020,898.2,0.945,0.00e+00,2048,16,2048,0
vendor,cfloat,2048,16,512,C,vendor:auto,0.15696,0.15709,0.0025,909.0,0.957,0.00e+00,2048,16,2048,0
native:direct,cfloat,2048,16,512,C,native:direct,0.73443,0.73500,0.0040,194.3,0.204,0.00e+00,2048,16,2048,0
native:cta,cfloat,2048,16,512,C,native:cta,0.15690,0.15722,0.0039,909.3,0.957,0.00e+00,2048,16,2048,0
vendor,cdouble,2048,16,512,C,vendor:auto,0.30928,0.30927,0.0014,922.6,0.971,0.00e+00,2048,16,2048,0
native:direct,cdouble,2048,16,512,C,native:direct,1.35339,1.35525,0.0055,210.8,0.222,0.00e+00,2048,16,2048,0
native:cta,cdouble,2048,16,512,C,native:cta,0.33377,0.33442,0.0070,854.9,0.900,0.00e+00,2048,16,2048,0
vendor,float,64,64,512,N,vendor:auto,0.00911,0.00910,0.0108,949.8,1.000,0.00e+00,64,64,64,0
native:direct,float,64,64,512,N,native:direct,0.00743,0.00745,0.0141,1164.0,1.225,0.00e+00,64,64,64,0
vendor,double,64,64,512,N,vendor:auto,0.01233,0.01233,0.0096,1403.4,1.477,0.00e+00,64,64,64,0
native:direct,double,64,64,512,N,native:direct,0.00998,0.00999,0.0102,1734.3,1.826,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,N,vendor:auto,0.01075,0.01085,0.0165,1609.7,1.694,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,N,native:direct,0.00939,0.00942,0.0121,1843.1,1.940,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,N,vendor:auto,0.02438,0.02445,0.0122,1419.5,1.494,0.00e+00,64,64,64,0
native:direct,cdouble,64,64,512,N,native:direct,0.01823,0.01822,0.0030,1898.7,1.999,0.00e+00,64,64,64,0
vendor,float,64,64,512,T,vendor:auto,0.01060,0.01057,0.0110,815.7,0.859,0.00e+00,64,64,64,0
native:direct,float,64,64,512,T,native:direct,0.01192,0.01192,0.0069,725.8,0.764,0.00e+00,64,64,64,0
native:cta,float,64,64,512,T,native:cta,0.01010,0.01009,0.0083,856.8,0.902,0.00e+00,64,64,64,0
vendor,double,64,64,512,T,vendor:auto,0.01342,0.01343,0.0126,1288.8,1.357,0.00e+00,64,64,64,0
native:direct,double,64,64,512,T,native:direct,0.01241,0.01242,0.0037,1394.0,1.467,0.00e+00,64,64,64,0
native:cta,double,64,64,512,T,native:cta,0.02152,0.02152,0.0051,804.0,0.846,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,T,vendor:auto,0.01150,0.01158,0.0172,1504.9,1.584,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,T,native:direct,0.01795,0.01793,0.0047,964.1,1.015,0.00e+00,64,64,64,0
native:cta,cfloat,64,64,512,T,native:cta,0.01130,0.01134,0.0143,1531.6,1.612,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,T,vendor:auto,0.02437,0.02447,0.0185,1420.0,1.495,0.00e+00,64,64,64,0
native:direct,cdouble,64,64,512,T,native:direct,0.02286,0.02285,0.0030,1513.5,1.593,0.00e+00,64,64,64,0
native:cta,cdouble,64,64,512,T,native:cta,0.05414,0.05453,0.0214,639.1,0.673,0.00e+00,64,64,64,0
vendor,float,64,64,512,C,vendor:auto,0.01053,0.01057,0.0150,821.2,0.864,0.00e+00,64,64,64,0
native:direct,float,64,64,512,C,native:direct,0.01195,0.01194,0.0058,724.2,0.762,0.00e+00,64,64,64,0
native:cta,float,64,64,512,C,native:cta,0.01006,0.01005,0.0076,860.0,0.905,0.00e+00,64,64,64,0
vendor,double,64,64,512,C,vendor:auto,0.01350,0.01344,0.0141,1281.4,1.349,0.00e+00,64,64,64,0
native:direct,double,64,64,512,C,native:direct,0.01235,0.01237,0.0045,1400.5,1.474,0.00e+00,64,64,64,0
native:cta,double,64,64,512,C,native:cta,0.02152,0.02155,0.0073,803.9,0.846,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,C,vendor:auto,0.01200,0.01203,0.0156,1442.2,1.518,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,C,native:direct,0.01786,0.01783,0.0043,968.9,1.020,0.00e+00,64,64,64,0
native:cta,cfloat,64,64,512,C,native:cta,0.01126,0.01122,0.0141,1536.8,1.618,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,C,vendor:auto,0.02557,0.02568,0.0389,1353.3,1.424,0.00e+00,64,64,64,0
