type,side,n,q,batch,route,nb,ms,sd_pct
complex<float>,Right,128,4096,128,native,32,4.7919,0.03316325465890357
complex<float>,Right,128,256,128,native,64,0.307394,3.3339948079663233
complex<float>,Right,128,1024,128,native,64,1.16096,0.1263549131753032
complex<float>,Right,128,4096,128,native,64,4.8998,0.07376994979386914
complex<float>,Right,128,256,128,native,128,0.304697,3.7973790355664807
complex<float>,Right,128,1024,128,native,128,1.14327,0.1066414757668792
complex<float>,Right,128,4096,128,native,128,4.79254,0.03575056233229144
complex<float>,Right,128,256,128,native,256,0.303795,2.8667127503744303
complex<float>,Right,128,1024,128,native,256,1.14209,0.16645798492237915
complex<float>,Right,128,4096,128,native,256,4.78926,0.06193336757661935
complex<float>,Right,128,256,512,vendor,-,6.52915,0.6117871392141397
complex<float>,Right,128,1024,512,vendor,-,27.9355,0.402452077106191
complex<float>,Right,128,4096,512,vendor,-,107.712,0.4435680332739156
complex<float>,Right,128,256,512,native,32,1.23114,2.577115518949917
complex<float>,Right,128,1024,512,native,32,4.78608,0.4389918262962592
complex<float>,Right,128,4096,512,native,32,18.9369,0.11556168116217543
complex<float>,Right,128,256,512,native,64,1.21562,3.9712492390714207
complex<float>,Right,128,1024,512,native,64,4.89129,0.31421976615575853
complex<float>,Right,128,4096,512,native,64,19.3112,0.06330523219685985
complex<float>,Right,128,256,512,native,128,1.22909,2.8565524086926097
complex<float>,Right,128,1024,512,native,128,4.77994,0.11882847901856508
complex<float>,Right,128,4096,512,native,128,18.9106,0.0425105496388269
complex<float>,Right,128,256,512,native,256,1.19343,4.483078186403894
complex<float>,Right,128,1024,512,native,256,4.78558,0.12479281508197543
complex<float>,Right,128,4096,512,native,256,18.924,0.21550834918621858
complex<float>,Right,256,256,128,vendor,-,6.51136,3.3451997739335564
complex<float>,Right,256,1024,128,vendor,-,34.2855,0.14383514896968108
complex<float>,Right,256,4096,128,vendor,-,138.874,0.13191958177916674
complex<float>,Right,256,256,128,native,32,1.23243,3.5253442386180147
complex<float>,Right,256,1024,128,native,32,4.40172,0.32862153885299383
