type,side,route,n,q,batch,ms,sd_pct
complex<float>,Right,vendor,256,256,128,6.46593,3.434834586826644
complex<float>,Right,vendor,256,1024,128,34.1882,0.11757828724530686
complex<float>,Right,vendor,256,4096,128,138.853,0.1083404751787862
complex<float>,Right,vendor,256,256,512,35.3401,0.2898039337749469
complex<float>,Right,vendor,256,1024,512,140.212,0.11964881750492112
complex<float>,Right,vendor,256,256,2048,143.921,0.0658821853655825
complex<float>,Right,vendor,512,256,128,40.1483,0.9104121469651267
complex<float>,Right,vendor,512,1024,128,147.22,0.06870805597065616
complex<float>,Right,vendor,512,4096,128,583.395,0.06786036904670079
complex<float>,Right,vendor,512,256,512,149.086,0.12384261432998403
complex<float>,Right,vendor,512,1024,512,590.189,0.11191770771735834
complex<float>,Right,native,8,256,128,0.00955734,1.3365643578652637
complex<float>,Right,native,8,1024,128,0.0127125,2.216519174041298
complex<float>,Right,native,8,4096,128,0.0246152,0.23386281647112353
complex<float>,Right,native,8,256,512,0.0127478,2.6428952446696687
complex<float>,Right,native,8,1024,512,0.025173,2.4148134906447383
complex<float>,Right,native,8,4096,512,0.300785,0.47453829147065174
complex<float>,Right,native,8,256,2048,0.0249629,3.8048223563768637
complex<float>,Right,native,8,1024,2048,0.301022,0.13931307346306915
complex<float>,Right,native,8,4096,2048,1.18132,0.11859530017268818
complex<float>,Right,native,16,256,128,0.012472,2.5614737010904425
complex<float>,Right,native,16,1024,128,0.0202004,2.444303083107265
complex<float>,Right,native,16,4096,128,0.139903,1.47688755780791
complex<float>,Right,native,16,256,512,0.0218753,2.968302148999099
complex<float>,Right,native,16,1024,512,0.142744,0.37293756655270965
complex<float>,Right,native,16,4096,512,0.596763,0.11399533818282971
complex<float>,Right,native,16,256,2048,0.145976,1.6583410971666575
complex<float>,Right,native,16,1024,2048,0.599017,0.37449187585661176
complex<float>,Right,native,16,4096,2048,2.3546,0.3096147965684192
complex<float>,Right,native,32,256,128,0.0221067,3.791221665829817
complex<float>,Right,native,32,1024,128,0.0553529,1.0751288550374056
complex<float>,Right,native,32,4096,128,0.345077,0.5970087835468605
complex<float>,Right,native,32,256,512,0.0559081,2.838103959891322
complex<float>,Right,native,32,1024,512,0.341473,0.4834555001420317
complex<float>,Right,native,32,4096,512,1.31088,0.9778850848285121
complex<float>,Right,native,32,256,2048,0.35141,0.8030647961071113
complex<float>,Right,native,32,1024,2048,1.3049,0.10508084910721127
complex<float>,Right,native,32,4096,2048,5.14583,0.03980718368076675
complex<float>,Right,native,64,256,128,0.0800343,2.362299664019052
complex<float>,Right,native,64,1024,128,0.293253,0.1440882105212905
complex<float>,Right,native,64,4096,128,1.31651,0.09899507029950398
complex<float>,Right,native,64,256,512,0.29736,2.6040119720204467
complex<float>,Right,native,64,1024,512,1.31289,0.09968085673590325
complex<float>,Right,native,64,4096,512,5.12215,0.5594389074900188
complex<float>,Right,native,64,256,2048,1.38973,1.477488433004972
complex<float>,Right,native,64,1024,2048,5.12542,0.16276344182525532
complex<float>,Right,native,128,256,128,0.300777,3.336724550081954
complex<float>,Right,native,128,1024,128,1.13987,0.0966338266644442
complex<float>,Right,native,128,4096,128,4.7837,0.03097372326859962
complex<float>,Right,native,128,256,512,1.23715,1.9654932708240715
complex<float>,Right,native,128,1024,512,4.78449,0.08546511749423659
complex<float>,Right,native,128,4096,512,18.9137,0.036581472689108954
complex<float>,Right,native,128,256,2048,5.10654,2.3625390185918453
complex<float>,Right,native,128,1024,2048,18.9555,0.08950700324444093
complex<float>,Right,native,256,256,128,1.1806,4.0733779434186
complex<float>,Right,native,256,1024,128,4.40574,0.18736534611665692
complex<float>,Right,native,256,4096,128,17.9427,0.1347439348593021
complex<float>,Right,native,256,256,512,4.60631,3.8893821735836283
complex<float>,Right,native,256,1024,512,17.98,0.17888654060066742
complex<float>,Right,native,256,256,2048,18.287,2.119243178214032
complex<float>,Right,native,512,256,128,4.77775,2.240824655957302
complex<float>,Right,native,512,1024,128,17.3662,0.335547212401101
complex<float>,Right,native,512,4096,128,70.5658,1.0409405122594797
complex<float>,Right,native,512,256,512,17.5294,2.095747715266923
complex<float>,Right,native,512,1024,512,70.6518,0.8642270968326357
