# level3_vendor_available=0 factorization_vendor_available=0
op,type,N,nb,j0,batch,m,n,k,vendor,route,variant
SOLVE_U,cfloat,1024,-,-,128,1024,1,1024,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,1024,-,-,128,1024,1024,1024,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,1024,-,-,128,1024,1024,1024,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,1024,-,-,128,1024,1024,1024,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,1024,-,-,128,1024,1024,1024,vendor_free,Native:Blocked,-
G,cfloat,2048,64,0,32,1984,1984,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,2048,64,0,32,1984,1984,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,2048,64,0,32,64,1984,64,vendor_present,Native:Blocked,-
T,cfloat,2048,64,0,32,64,1984,64,vendor_free,Native:Blocked,-
G,cfloat,2048,64,1024,32,960,960,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,2048,64,1024,32,960,960,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,2048,64,1024,32,64,960,64,vendor_present,Native:Blocked,-
T,cfloat,2048,64,1024,32,64,960,64,vendor_free,Native:Blocked,-
G,cfloat,2048,64,1920,32,64,64,64,vendor_present,Vendor:Auto,Direct
G,cfloat,2048,64,1920,32,64,64,64,vendor_free,Native:RegisterTiled,Direct
T,cfloat,2048,64,1920,32,64,64,64,vendor_present,Native:Blocked,-
T,cfloat,2048,64,1920,32,64,64,64,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,2048,-,-,32,2048,1,2048,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,2048,-,-,32,2048,1,2048,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,2048,-,-,32,2048,1,2048,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,2048,-,-,32,2048,1,2048,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,2048,-,-,32,2048,2048,2048,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,2048,-,-,32,2048,2048,2048,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,2048,-,-,32,2048,2048,2048,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,2048,-,-,32,2048,2048,2048,vendor_free,Native:Blocked,-
G,cdouble,128,32,0,4096,96,96,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cdouble,128,32,0,4096,96,96,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cdouble,128,32,0,4096,32,96,32,vendor_present,Native:CTA,-
T,cdouble,128,32,0,4096,32,96,32,vendor_free,Native:CTA,-
G,cdouble,128,32,64,4096,32,32,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cdouble,128,32,64,4096,32,32,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cdouble,128,32,64,4096,32,32,32,vendor_present,Native:CTA,-
T,cdouble,128,32,64,4096,32,32,32,vendor_free,Native:CTA,-
G,cdouble,128,32,64,4096,32,32,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cdouble,128,32,64,4096,32,32,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cdouble,128,32,64,4096,32,32,32,vendor_present,Native:CTA,-
T,cdouble,128,32,64,4096,32,32,32,vendor_free,Native:CTA,-
SOLVE_L,cdouble,128,-,-,4096,128,1,128,vendor_present,Native:Blocked,-
SOLVE_U,cdouble,128,-,-,4096,128,1,128,vendor_present,Native:Blocked,-
SOLVE_L,cdouble,128,-,-,4096,128,1,128,vendor_free,Native:Blocked,-
SOLVE_U,cdouble,128,-,-,4096,128,1,128,vendor_free,Native:Blocked,-
SOLVE_L,cdouble,128,-,-,4096,128,128,128,vendor_present,Native:Blocked,-
SOLVE_U,cdouble,128,-,-,4096,128,128,128,vendor_present,Native:Blocked,-
SOLVE_L,cdouble,128,-,-,4096,128,128,128,vendor_free,Native:Blocked,-
SOLVE_U,cdouble,128,-,-,4096,128,128,128,vendor_free,Native:Blocked,-
G,cdouble,256,32,0,2048,224,224,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cdouble,256,32,0,2048,224,224,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cdouble,256,32,0,2048,32,224,32,vendor_present,Native:CTA,-
T,cdouble,256,32,0,2048,32,224,32,vendor_free,Native:CTA,-
